address,sum_bought,class_bought,txs_bought,sum_sold,class_sold,txs_sold
\x3c7676976600c90c8d106786d84bda4369f872a8,1052.2124757927395,500-2.5K,4,0,0,0
\xf16dd2cb327ed8fb5a76de9788dd2fbe8a99d43c,1051.3631,500-2.5K,7,0,0,0
\x5ebe6914e5457ab8e16457cdb4277254ba6fc122,1017.37,500-2.5K,2,0,0,0
\xdff4e623cca25e674edb0a1f263fcf5aa458acf8,968.313,500-2.5K,1,0,0,0
\xdf92929fbb271a5dbb5eccc8cf84ea5448077d02,960.72496,500-2.5K,4,5339.92619,2.5K-10K,3
\x955ffed16112ab04b087c4ee174da850aca03fa7,933.17863,500-2.5K,1,2724.21359,2.5K-10K,2
\x980e2bf8368b26e070d12438c3ce9ab8cac60c65,881.86734,500-2.5K,4,3088.0718,2.5K-10K,2
\x75ba5ee883c2ede43282bde16e38d6ca8edccdf3,879.79252,500-2.5K,1,2490.875304,500-2.5K,2
\x50bbd57946008365c94b7a810ee5c91b7cdf5ed1,875.40156,500-2.5K,3,43301.312464,10K+,34
\x506ade0a94949db63047346d3796a01c09384198,860.70079,500-2.5K,3,12794.39657,10K+,5
\xa8ce8d12aa7884707b2113606d67f6df26b63196,840.08099,500-2.5K,5,1642.77615,500-2.5K,12
\x7824d7ae24ee595750e970afe61123573ad3ad27,839.184522,500-2.5K,1,5355.113002,2.5K-10K,7
\xbce6053b60c5913f4190c95f629f473be0e379aa,827.95245,500-2.5K,1,588.43981,500-2.5K,2
\xc065f5d649cdbe291f67d282b31e49eefa17ef11,825.596763,500-2.5K,4,14246.429212,10K+,15
\xcd5561b1be55c1fa4bba4749919a03219497b6ef,813.88529,500-2.5K,4,6032.91067,2.5K-10K,7
\xeca43946dbeeecf791cb8ff330f2d0c415934184,807.6688898096912,500-2.5K,6,1526.38172,500-2.5K,2
\x952c23f8f067a5e7e165ff0e42491f51d87dbc95,806.3989636376,500-2.5K,3,10581.844351,10K+,14
\x520fe46a22aa0420ecb6ae10d2324da6ab41a89b,803.83,500-2.5K,1,1327.4518,500-2.5K,1
\x576eb27cbf54518d3de5a38ea7746ef6a9b8b5e6,795.949339,500-2.5K,2,368.7068,>500,1
\x7abbbf772e03c789f0fb03e465ad8a5b462d0bcb,783.999712,500-2.5K,4,0,0,0
\x3ec44a823e07555b5f889d8d954eec736eb5865b,782.674742,500-2.5K,8,1098.2105337963148,500-2.5K,13
\x014607f2d6477badd9d74bf2c5d6356e29a9b957,774.143123,500-2.5K,4,1340.12835,500-2.5K,3
\x9eb22561e56c9c700a990d6ae3c6245b9555804c,749.0332,500-2.5K,1,0,0,0
\xaa6c7b556449e1d5a75b6322a256180edd1c8edc,738.981396,500-2.5K,4,549.999103,500-2.5K,2
